"108年08月23日 三大法人買賣金額統計表"
"單位名稱","買進金額","賣出金額","買賣差額",
"自營商(自行買賣)","1,441,588,724","1,074,979,289","366,609,435",
"自營商(避險)","6,121,242,630","3,520,209,144","2,601,033,486",
"投信","1,634,812,550","1,808,926,790","-174,114,240",
"外資及陸資(不含外資自營商)","22,417,777,364","23,299,492,336","-881,714,972",
"外資自營商","3,122,440","4,919,150","-1,796,710",
"合計","31,615,421,268","29,703,607,559","1,911,813,709",
"說明:"
"自營商表示證券自營商專戶。"
"投信表示本國投資信託基金。"
"外資及陸資表示依「華僑及外國人投資證券管理辦法」及「大陸地區投資人來臺從事證券投資及期貨交易管理辦法」辦理登記等投資人。"
"因外資自營商買賣金額已計入自營商買賣金額，故不納入三大法人買賣金額之合計數計算。"
"本統計資訊含一般、零股、盤後定價，不含鉅額、拍賣、標購。"
"本資訊以當日原始成交情形統計，不以證券商申報錯帳、更正帳號等調整後資料統計。"
"本統計資訊投信部分不含當日綜合帳戶買賣金額。"
"不加計外幣交易證券交易金額。"

